,Attrition_Flag,Age,Gender,Dependent_Count,Education,Marital_Status,Income,Card_Category,Months_On_Book,Total_Relationship_Count,Months_Inactive,Contacts_Count,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
35,Existing Customer,55.0,F,1,College,Single,Less than $40K,Blue,36,4,2.0,1.0,3520.0,1914,1606.0,0.51,1407.0,43.0,0.483,0.544
37,Existing Customer,42.0,F,4,High School,Married,Less than $40K,Gold,36,2,3.0,3.0,15433.0,0,15433.0,0.865,966.0,22.0,1.2,0.0
38,Existing Customer,57.0,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3.0,2.0,3672.0,886,2786.0,1.32,1464.0,28.0,0.556,0.24100000000000002
39,Attrited Customer,66.0,F,0,Doctorate,Married,Unknown,Blue,56,5,4.0,3.0,7882.0,605,7277.0,1.052,704.0,16.0,0.14300000000000002,0.077
40,Existing Customer,45.0,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2.0,2.0,32426.0,578,31848.0,1.042,1109.0,28.0,0.474,0.018000000000000002
41,Existing Customer,51.0,M,2,Unknown,Married,$40K - $60K,Blue,44,4,1.0,0.0,6205.0,2204,4001.0,0.8029999999999999,1347.0,28.0,0.556,0.355
43,Existing Customer,49.0,M,3,High School,Married,$60K - $80K,Blue,37,5,2.0,1.0,3906.0,0,3906.0,1.214,1756.0,32.0,1.0,0.0
44,Existing Customer,38.0,F,4,Graduate,Single,Unknown,Blue,28,2,3.0,3.0,9830.0,2055,7775.0,0.977,1042.0,23.0,0.917,0.209
48,Existing Customer,46.0,M,3,High School,Married,$80K - $120K,Blue,40,4,3.0,3.0,19458.0,1435,18023.0,0.787,1217.0,27.0,0.8,0.07400000000000001
49,Existing Customer,52.0,M,1,College,Single,$80K - $120K,Blue,40,5,1.0,1.0,4745.0,1227,3518.0,0.624,1140.0,40.0,0.6,0.259
50,Existing Customer,52.0,F,3,Unknown,Married,Less than $40K,Blue,41,6,3.0,2.0,2622.0,1549,1073.0,1.321,1878.0,30.0,1.143,0.591
51,Attrited Customer,54.0,F,1,Graduate,Married,Less than $40K,Blue,40,2,3.0,1.0,1438.3,808,630.3,0.997,705.0,19.0,0.9,0.562
53,Existing Customer,49.0,M,2,Unknown,Married,$120K +,Blue,36,4,2.0,0.0,19763.0,2517,17246.0,0.664,1414.0,35.0,0.25,0.127
54,Attrited Customer,56.0,M,2,Graduate,Married,$120K +,Blue,36,1,3.0,3.0,15769.0,0,15769.0,1.041,602.0,15.0,0.364,0.0
55,Existing Customer,49.0,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4.0,2.0,3298.0,2200,1098.0,0.6779999999999999,1052.0,32.0,0.6,0.667
56,Existing Customer,49.0,F,3,Graduate,Single,Less than $40K,Blue,36,2,2.0,0.0,2802.0,2363,439.0,0.75,1295.0,40.0,0.6,0.843
57,Existing Customer,56.0,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2.0,3.0,4458.0,1880,2578.0,1.107,1424.0,29.0,1.4169999999999998,0.42200000000000004
59,Existing Customer,42.0,M,2,High School,Single,$60K - $80K,Blue,34,4,4.0,3.0,3336.0,1753,1583.0,0.69,1168.0,27.0,1.25,0.525
60,Existing Customer,55.0,M,3,Unknown,Married,$80K - $120K,Blue,47,4,2.0,3.0,3436.0,2016,1420.0,0.9009999999999999,1097.0,33.0,0.833,0.5870000000000001
61,Attrited Customer,48.0,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4.0,4.0,34516.0,0,34516.0,0.763,691.0,15.0,0.5,0.0
62,Existing Customer,39.0,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3.0,3.0,5926.0,1251,4675.0,0.9440000000000001,1316.0,28.0,1.1540000000000001,0.21100000000000002
63,Existing Customer,44.0,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4.0,2.0,23957.0,2102,21855.0,0.997,1276.0,26.0,0.733,0.08800000000000001
64,Existing Customer,53.0,M,2,High School,Single,$120K +,Blue,44,4,2.0,2.0,14734.0,1634,13100.0,0.9890000000000001,1289.0,23.0,0.917,0.111
65,Existing Customer,51.0,M,2,Uneducated,Single,$80K - $120K,Silver,38,4,1.0,4.0,34516.0,1515,33001.0,0.5920000000000001,1293.0,32.0,0.6,0.044000000000000004
66,Existing Customer,57.0,M,2,College,Married,$60K - $80K,Blue,52,5,3.0,3.0,6584.0,1817,4767.0,0.62,1353.0,35.0,0.667,0.276
67,Existing Customer,44.0,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3.0,3.0,2084.0,1468,616.0,1.004,1132.0,28.0,0.556,0.7040000000000001
70,Existing Customer,51.0,M,4,Graduate,Single,$120K +,Blue,42,3,2.0,3.0,34516.0,1763,32753.0,1.266,1550.0,41.0,1.05,0.051
71,Existing Customer,55.0,F,2,Graduate,Married,Less than $40K,Blue,42,5,3.0,3.0,2216.0,1034,1182.0,0.758,1540.0,36.0,0.28600000000000003,0.467
72,Existing Customer,54.0,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4,2.0,3.0,2910.0,2030,880.0,0.769,1256.0,21.0,0.4,0.698
73,Existing Customer,42.0,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2.0,2.0,22913.0,1528,21385.0,0.414,1394.0,35.0,0.522,0.067
74,Existing Customer,44.0,M,1,College,Single,$60K - $80K,Blue,35,3,3.0,3.0,24312.0,1932,22380.0,1.3119999999999998,1341.0,24.0,1.182,0.079
75,Existing Customer,53.0,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3.0,2.0,5272.0,1515,3757.0,0.857,1289.0,33.0,0.435,0.287
77,Existing Customer,37.0,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4.0,2.0,7038.0,1801,5237.0,0.7509999999999999,2339.0,57.0,0.966,0.256
78,Existing Customer,49.0,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1.0,2.0,2536.0,1823,713.0,0.703,1468.0,23.0,0.353,0.7190000000000001
79,Existing Customer,47.0,M,2,Graduate,Married,$80K - $120K,Blue,38,6,3.0,2.0,28904.0,1899,27005.0,0.85,1334.0,35.0,0.4,0.066
80,Existing Customer,47.0,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4.0,0.0,8567.0,1695,6872.0,1.242,1457.0,41.0,1.412,0.198
81,Existing Customer,44.0,M,1,Unknown,Unknown,$120K +,Blue,36,6,2.0,2.0,34516.0,1533,32983.0,0.924,1603.0,29.0,0.526,0.044000000000000004
82,Attrited Customer,55.0,F,4,Unknown,Married,$40K - $60K,Blue,45,2,4.0,3.0,2158.0,0,2158.0,0.585,615.0,12.0,0.7140000000000001,0.0
83,Existing Customer,59.0,F,1,Graduate,Married,Unknown,Blue,52,2,3.0,3.0,10133.0,1417,8716.0,0.38299999999999995,1068.0,20.0,0.818,0.14
85,Existing Customer,52.0,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3.0,0.0,3085.0,1910,1175.0,0.9209999999999999,1531.0,35.0,0.667,0.619
86,Existing Customer,53.0,M,2,High School,Single,$120K +,Blue,35,4,2.0,1.0,19040.0,2056,16984.0,0.607,1212.0,31.0,0.722,0.10800000000000001
87,Existing Customer,43.0,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2.0,3.0,4026.0,0,4026.0,0.483,1237.0,32.0,0.6,0.0
90,Existing Customer,51.0,F,2,High School,Single,Less than $40K,Blue,36,3,2.0,2.0,9930.0,0,9930.0,0.731,1276.0,21.0,1.3330000000000002,0.0
92,Existing Customer,45.0,M,1,Graduate,Single,$40K - $60K,Blue,36,4,4.0,3.0,6576.0,0,6576.0,0.579,1465.0,34.0,0.619,0.0
93,Existing Customer,53.0,M,0,Graduate,Single,$80K - $120K,Blue,42,5,4.0,1.0,2664.0,2037,627.0,0.85,1286.0,29.0,0.9329999999999999,0.765
96,Existing Customer,45.0,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4.0,2.0,3454.0,1200,2254.0,0.597,1313.0,30.0,0.304,0.34700000000000003
97,Existing Customer,53.0,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3.0,2.0,3789.0,1706,2083.0,1.047,1609.0,42.0,0.68,0.45
98,Existing Customer,56.0,M,3,College,Married,$120K +,Blue,50,3,2.0,0.0,9689.0,2250,7439.0,0.5760000000000001,1158.0,19.0,0.727,0.23199999999999998
99,Attrited Customer,47.0,M,2,Unknown,Married,$80K - $120K,Blue,37,2,3.0,3.0,5449.0,1628,3821.0,0.696,836.0,18.0,0.385,0.299
100,Existing Customer,49.0,F,3,College,Single,Unknown,Blue,43,4,4.0,0.0,23032.0,1960,21072.0,0.619,1289.0,22.0,1.0,0.085
101,Existing Customer,41.0,F,3,Unknown,Married,Unknown,Silver,34,5,3.0,3.0,34516.0,2053,32463.0,1.034,1487.0,26.0,0.733,0.059000000000000004
102,Existing Customer,53.0,M,3,Graduate,Married,$120K +,Blue,34,6,2.0,2.0,2940.0,1264,1676.0,0.562,1259.0,33.0,0.5,0.43
104,Existing Customer,44.0,M,3,High School,Unknown,$60K - $80K,Blue,25,3,3.0,0.0,1862.0,0,1862.0,0.883,1226.0,34.0,0.789,0.0
105,Existing Customer,43.0,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,3.0,3.0,8358.0,926,7432.0,0.762,1566.0,37.0,0.542,0.111
106,Existing Customer,53.0,M,2,Post-Graduate,Single,$120K +,Blue,36,6,1.0,2.0,34516.0,931,33585.0,0.828,1022.0,21.0,1.1,0.027000000000000003
107,Existing Customer,44.0,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,2.0,3.0,14450.0,2440,12010.0,1.2830000000000001,1235.0,30.0,0.667,0.16899999999999998
108,Existing Customer,62.0,F,1,Unknown,Married,Less than $40K,Blue,56,6,0.0,0.0,1438.3,0,1438.3,0.813,1951.0,44.0,1.095,0.0
109,Existing Customer,54.0,M,4,Unknown,Divorced,$120K +,Blue,36,6,3.0,2.0,33791.0,1960,31831.0,0.618,1047.0,31.0,0.8240000000000001,0.057999999999999996
110,Existing Customer,57.0,M,4,Graduate,Married,$60K - $80K,Blue,39,4,3.0,0.0,8466.0,1886,6580.0,0.56,1342.0,32.0,0.391,0.223
112,Existing Customer,42.0,M,4,High School,Divorced,$60K - $80K,Blue,36,5,1.0,2.0,3263.0,1674,1589.0,0.588,1251.0,35.0,0.34600000000000003,0.513
114,Existing Customer,48.0,M,3,Graduate,Single,$80K - $120K,Blue,35,6,1.0,0.0,13551.0,1294,12257.0,0.7909999999999999,1388.0,37.0,1.056,0.095
116,Existing Customer,52.0,M,3,High School,Unknown,$80K - $120K,Blue,48,3,2.0,0.0,11976.0,1273,10703.0,1.024,2089.0,36.0,1.1179999999999999,0.106
119,Existing Customer,53.0,F,2,High School,Married,Less than $40K,Blue,44,3,2.0,3.0,5362.0,1901,3461.0,0.816,1553.0,38.0,1.0,0.355
120,Existing Customer,50.0,M,2,Graduate,Single,$120K +,Blue,36,3,2.0,2.0,34516.0,1023,33493.0,1.004,1064.0,13.0,0.625,0.03
121,Existing Customer,55.0,F,1,Doctorate,Married,Less than $40K,Blue,36,4,1.0,0.0,3174.0,1951,1223.0,0.7659999999999999,1243.0,29.0,0.611,0.615
123,Existing Customer,47.0,F,3,High School,Single,$40K - $60K,Blue,41,4,3.0,3.0,3788.0,1540,2248.0,0.5660000000000001,1594.0,47.0,0.382,0.40700000000000003
124,Existing Customer,55.0,M,2,College,Single,$120K +,Silver,42,2,3.0,2.0,34516.0,1527,32989.0,0.526,1268.0,42.0,0.355,0.044000000000000004
125,Existing Customer,47.0,M,3,Graduate,Single,$60K - $80K,Blue,36,4,2.0,2.0,2926.0,0,2926.0,0.6759999999999999,1304.0,24.0,0.846,0.0
126,Existing Customer,58.0,M,4,Graduate,Single,$120K +,Blue,52,6,1.0,0.0,32090.0,0,32090.0,0.5670000000000001,1368.0,30.0,0.364,0.0
127,Attrited Customer,53.0,M,2,Graduate,Married,$80K - $120K,Blue,41,3,3.0,2.0,11669.0,2227,9442.0,0.622,720.0,23.0,0.353,0.191
128,Existing Customer,52.0,M,2,High School,Single,$40K - $60K,Blue,45,3,1.0,2.0,13532.0,1300,12232.0,0.846,1521.0,29.0,1.4169999999999998,0.096
129,Existing Customer,50.0,F,1,Uneducated,Unknown,Less than $40K,Silver,36,4,2.0,2.0,11888.0,2090,9798.0,0.7,1137.0,30.0,0.765,0.17600000000000002
130,Existing Customer,42.0,F,1,Graduate,Married,Less than $40K,Blue,36,5,1.0,2.0,2393.0,1985,408.0,0.7879999999999999,978.0,16.0,0.778,0.83
134,Existing Customer,47.0,M,2,Doctorate,Single,Less than $40K,Blue,37,2,1.0,3.0,3235.0,797,2438.0,0.541,1493.0,32.0,1.0,0.24600000000000002
135,Existing Customer,44.0,F,3,Graduate,Single,$40K - $60K,Blue,38,3,1.0,0.0,11749.0,788,10961.0,0.688,1178.0,27.0,0.929,0.067
136,Existing Customer,53.0,M,2,High School,Divorced,$60K - $80K,Blue,36,5,3.0,2.0,7753.0,2100,5653.0,0.8390000000000001,991.0,26.0,0.733,0.271
138,Existing Customer,63.0,F,1,College,Married,Unknown,Blue,36,6,2.0,3.0,3967.0,1568,2399.0,1.236,1657.0,29.0,1.2309999999999999,0.395
139,Existing Customer,39.0,F,2,Post-Graduate,Single,Less than $40K,Blue,27,4,2.0,2.0,6205.0,2517,3688.0,0.9390000000000001,1204.0,19.0,0.727,0.406
140,Attrited Customer,48.0,F,5,High School,Married,Less than $40K,Blue,38,1,3.0,3.0,8025.0,0,8025.0,0.654,673.0,18.0,0.8,0.0
141,Existing Customer,51.0,M,1,Unknown,Single,$120K +,Blue,42,6,2.0,3.0,9036.0,2327,6709.0,0.649,1131.0,18.0,0.636,0.258
143,Existing Customer,59.0,F,1,Graduate,Single,Less than $40K,Blue,36,3,2.0,3.0,6335.0,1128,5207.0,0.397,1217.0,20.0,0.667,0.17800000000000002
144,Attrited Customer,59.0,M,1,College,Single,$60K - $80K,Blue,53,2,3.0,3.0,14979.0,0,14979.0,0.71,530.0,10.0,1.0,0.0
145,Attrited Customer,48.0,F,4,Uneducated,Married,Less than $40K,Blue,38,3,2.0,3.0,2732.0,0,2732.0,0.76,739.0,16.0,0.455,0.0
147,Existing Customer,55.0,M,2,Graduate,Married,$120K +,Blue,50,3,2.0,0.0,10916.0,1536,9380.0,1.317,1592.0,34.0,1.0,0.141
148,Existing Customer,47.0,F,4,Graduate,Married,Unknown,Blue,36,4,1.0,3.0,5349.0,1228,4121.0,0.728,1343.0,30.0,1.308,0.23
149,Existing Customer,41.0,M,2,High School,Married,$80K - $120K,Blue,24,4,1.0,3.0,9366.0,1104,8262.0,0.5720000000000001,1303.0,39.0,0.625,0.11800000000000001
150,Existing Customer,40.0,M,3,High School,Single,$80K - $120K,Blue,28,5,1.0,0.0,21617.0,0,21617.0,1.047,1351.0,22.0,0.467,0.0
152,Existing Customer,50.0,F,1,Graduate,Single,$40K - $60K,Silver,31,2,2.0,3.0,18386.0,0,18386.0,0.868,1298.0,22.0,0.5710000000000001,0.0
153,Existing Customer,47.0,M,4,Uneducated,Single,$60K - $80K,Blue,41,6,2.0,2.0,2405.0,1540,865.0,0.469,1087.0,29.0,1.2309999999999999,0.64
155,Existing Customer,42.0,F,5,Unknown,Married,$40K - $60K,Blue,36,3,3.0,3.0,2038.0,0,2038.0,0.7859999999999999,1238.0,28.0,0.75,0.0
156,Existing Customer,48.0,F,4,High School,Single,$40K - $60K,Blue,38,6,1.0,3.0,8135.0,0,8135.0,1.3730000000000002,1716.0,29.0,0.812,0.0
157,Existing Customer,49.0,M,1,Doctorate,Married,$120K +,Blue,38,6,1.0,3.0,9364.0,618,8746.0,0.5539999999999999,1099.0,27.0,0.8,0.066
159,Existing Customer,43.0,F,4,Graduate,Divorced,Less than $40K,Blue,34,2,3.0,1.0,3195.0,1954,1241.0,0.971,1285.0,29.0,0.706,0.612
160,Existing Customer,56.0,M,0,High School,Married,$80K - $120K,Blue,43,5,2.0,1.0,2852.0,1024,1828.0,1.0090000000000001,1651.0,28.0,1.0,0.359
161,Existing Customer,59.0,F,1,College,Single,Unknown,Blue,36,2,3.0,3.0,4224.0,1305,2919.0,0.852,1152.0,31.0,0.8240000000000001,0.309
163,Existing Customer,47.0,F,4,Unknown,Divorced,Less than $40K,Blue,41,6,5.0,3.0,3482.0,2114,1368.0,0.508,1039.0,24.0,0.263,0.607
164,Existing Customer,50.0,F,4,Uneducated,Married,$40K - $60K,Blue,40,5,2.0,3.0,3065.0,1570,1495.0,1.077,1130.0,28.0,1.3330000000000002,0.512
165,Existing Customer,51.0,F,3,Uneducated,Married,Less than $40K,Blue,43,3,1.0,2.0,2185.0,1761,424.0,0.682,1645.0,30.0,0.429,0.8059999999999999
166,Existing Customer,47.0,F,3,Uneducated,Married,Less than $40K,Blue,36,4,1.0,0.0,1611.0,746,865.0,0.993,1413.0,29.0,0.706,0.46299999999999997
168,Attrited Customer,46.0,M,5,Graduate,Single,$80K - $120K,Blue,33,6,3.0,3.0,32975.0,2517,30458.0,0.6579999999999999,597.0,17.0,0.7,0.076
169,Existing Customer,53.0,M,3,High School,Married,$60K - $80K,Blue,47,5,2.0,2.0,1438.3,0,1438.3,0.7759999999999999,2184.0,53.0,0.828,0.0
171,Existing Customer,52.0,F,1,High School,Married,Less than $40K,Blue,45,6,3.0,3.0,6703.0,893,5810.0,0.5670000000000001,1388.0,28.0,0.75,0.133
172,Attrited Customer,53.0,M,2,Unknown,Married,$80K - $120K,Blue,36,2,2.0,1.0,3212.0,0,3212.0,0.713,757.0,20.0,0.25,0.0
173,Existing Customer,50.0,M,2,High School,Married,$80K - $120K,Silver,45,3,1.0,3.0,34516.0,1260,33256.0,0.588,1504.0,34.0,0.789,0.037000000000000005
174,Existing Customer,41.0,F,3,High School,Married,$40K - $60K,Blue,36,4,1.0,2.0,9797.0,1434,8363.0,0.644,1503.0,34.0,0.478,0.146
175,Existing Customer,45.0,F,5,Graduate,Divorced,$40K - $60K,Blue,36,5,2.0,2.0,10400.0,1777,8623.0,0.7909999999999999,1105.0,28.0,0.867,0.171
179,Existing Customer,59.0,F,1,Uneducated,Married,$40K - $60K,Blue,36,4,2.0,3.0,3356.0,985,2371.0,0.35,999.0,28.0,0.556,0.294
181,Existing Customer,51.0,M,3,Graduate,Married,$80K - $120K,Blue,36,6,2.0,3.0,11106.0,2107,8999.0,0.948,1243.0,24.0,1.0,0.19
182,Existing Customer,59.0,F,1,Uneducated,Married,Less than $40K,Blue,54,5,3.0,0.0,2890.0,2001,889.0,1.334,1860.0,36.0,1.0,0.6920000000000001
183,Existing Customer,53.0,M,1,Graduate,Married,$60K - $80K,Blue,45,6,2.0,2.0,3380.0,1701,1679.0,0.747,1502.0,25.0,1.273,0.503
184,Existing Customer,47.0,M,3,Graduate,Married,$60K - $80K,Blue,36,2,1.0,2.0,21331.0,1251,20080.0,0.9490000000000001,1460.0,50.0,1.083,0.059000000000000004
185,Existing Customer,49.0,F,3,Uneducated,Single,Unknown,Blue,38,6,2.0,1.0,12860.0,0,12860.0,0.6459999999999999,1348.0,27.0,0.28600000000000003,0.0
186,Existing Customer,49.0,M,3,Post-Graduate,Single,$80K - $120K,Blue,33,3,1.0,0.0,6278.0,462,5816.0,1.161,1087.0,33.0,0.941,0.07400000000000001
187,Existing Customer,60.0,F,0,College,Single,Less than $40K,Blue,55,5,1.0,3.0,1438.3,738,700.3,0.782,1226.0,33.0,0.5710000000000001,0.513
188,Existing Customer,50.0,F,2,High School,Married,Less than $40K,Blue,36,5,1.0,2.0,9355.0,1626,7729.0,0.701,1230.0,28.0,0.867,0.174
189,Existing Customer,41.0,F,2,Post-Graduate,Married,Unknown,Blue,31,6,1.0,3.0,20758.0,0,20758.0,0.688,1555.0,32.0,0.684,0.0
191,Existing Customer,43.0,M,4,Graduate,Unknown,$80K - $120K,Blue,27,5,2.0,0.0,27259.0,0,27259.0,0.731,1376.0,35.0,0.591,0.0
192,Existing Customer,57.0,F,3,Graduate,Married,Less than $40K,Blue,47,4,2.0,3.0,6347.0,1594,4753.0,0.8959999999999999,1771.0,37.0,0.762,0.251
193,Existing Customer,54.0,M,3,Doctorate,Married,$120K +,Blue,41,3,3.0,0.0,21592.0,1676,19916.0,1.097,1873.0,52.0,0.529,0.078
194,Existing Customer,51.0,F,5,Post-Graduate,Married,Less than $40K,Blue,44,5,1.0,1.0,3449.0,1598,1851.0,0.971,1679.0,42.0,0.556,0.46299999999999997
195,Existing Customer,47.0,F,3,High School,Married,Less than $40K,Blue,34,2,1.0,2.0,6028.0,799,5229.0,0.8190000000000001,1002.0,22.0,0.5710000000000001,0.133
196,Existing Customer,41.0,M,0,High School,Unknown,$120K +,Blue,36,3,2.0,3.0,18214.0,1998,16216.0,0.8290000000000001,1344.0,21.0,1.1,0.11
198,Attrited Customer,68.0,M,0,High School,Married,Less than $40K,Blue,52,1,3.0,2.0,1438.3,900,538.3,0.743,760.0,21.0,0.615,0.626
200,Existing Customer,48.0,M,4,Unknown,Married,$80K - $120K,Blue,36,5,3.0,0.0,5288.0,866,4422.0,0.8690000000000001,1777.0,42.0,0.75,0.16399999999999998
201,Existing Customer,44.0,M,5,Graduate,Married,$60K - $80K,Blue,32,4,5.0,3.0,11376.0,2006,9370.0,0.619,1302.0,27.0,0.8,0.17600000000000002
203,Existing Customer,47.0,M,4,Graduate,Married,$60K - $80K,Silver,33,3,2.0,1.0,34516.0,1679,32837.0,0.623,1060.0,27.0,0.5,0.049
204,Existing Customer,47.0,M,2,Graduate,Married,$60K - $80K,Silver,32,4,2.0,2.0,34516.0,1468,33048.0,0.505,1330.0,32.0,0.684,0.043
205,Existing Customer,43.0,F,1,High School,Divorced,Less than $40K,Silver,35,3,2.0,2.0,10514.0,1580,8934.0,0.504,1229.0,27.0,0.8,0.15
206,Attrited Customer,55.0,F,2,Graduate,Married,Less than $40K,Blue,43,2,4.0,3.0,1438.3,0,1438.3,0.7070000000000001,886.0,27.0,0.42100000000000004,0.0
207,Attrited Customer,59.0,M,2,Post-Graduate,Married,$60K - $80K,Blue,46,3,3.0,3.0,1438.3,0,1438.3,0.688,844.0,24.0,0.5,0.0
208,Existing Customer,63.0,M,1,Graduate,Married,$40K - $60K,Blue,56,2,1.0,2.0,2619.0,1779,840.0,1.2590000000000001,1450.0,37.0,0.9470000000000001,0.679
209,Existing Customer,58.0,M,2,College,Married,$120K +,Blue,53,2,3.0,0.0,24407.0,2395,22012.0,1.071,2311.0,48.0,0.7140000000000001,0.098
210,Existing Customer,53.0,F,2,High School,Married,Less than $40K,Blue,36,4,1.0,2.0,2377.0,1649,728.0,0.93,1378.0,26.0,1.167,0.6940000000000001
211,Existing Customer,59.0,M,0,Unknown,Unknown,$80K - $120K,Silver,40,3,2.0,3.0,34516.0,1359,33157.0,1.327,1033.0,26.0,1.364,0.039
212,Existing Customer,52.0,M,3,Graduate,Married,$120K +,Blue,47,5,3.0,3.0,11086.0,2207,8879.0,0.8690000000000001,1523.0,40.0,1.105,0.19899999999999998
213,Existing Customer,48.0,M,3,High School,Single,$60K - $80K,Blue,36,4,2.0,2.0,11432.0,2517,8915.0,0.615,1374.0,37.0,0.762,0.22
214,Existing Customer,43.0,M,4,High School,Married,$40K - $60K,Blue,36,5,3.0,2.0,13258.0,1721,11537.0,0.9079999999999999,1080.0,21.0,1.3330000000000002,0.13
215,Existing Customer,48.0,M,2,College,Single,Less than $40K,Blue,36,3,2.0,3.0,2571.0,1955,616.0,0.531,1234.0,24.0,0.7140000000000001,0.76
216,Existing Customer,43.0,F,4,Graduate,Single,Less than $40K,Blue,31,5,2.0,0.0,5781.0,1168,4613.0,0.638,1600.0,32.0,0.455,0.20199999999999999
217,Existing Customer,44.0,M,4,Unknown,Married,$60K - $80K,Blue,30,5,1.0,2.0,7872.0,2509,5363.0,0.971,1155.0,32.0,0.882,0.319
218,Existing Customer,41.0,M,3,High School,Married,$80K - $120K,Blue,35,6,1.0,2.0,34516.0,1202,33314.0,0.603,1353.0,33.0,0.737,0.035
220,Existing Customer,50.0,M,2,Unknown,Single,$40K - $60K,Blue,43,2,1.0,3.0,1857.0,1603,254.0,0.579,1590.0,43.0,1.263,0.863
221,Existing Customer,60.0,F,1,Uneducated,Married,Less than $40K,Blue,36,5,1.0,0.0,1913.0,1272,641.0,1.008,1448.0,22.0,1.0,0.665
222,Existing Customer,44.0,M,4,Graduate,Single,$80K - $120K,Blue,24,5,3.0,0.0,3839.0,2295,1544.0,0.569,1271.0,24.0,0.7140000000000001,0.598
223,Existing Customer,48.0,F,3,Graduate,Divorced,$40K - $60K,Blue,39,6,2.0,3.0,2115.0,1141,974.0,0.616,1223.0,20.0,0.5379999999999999,0.539
224,Existing Customer,44.0,F,2,Graduate,Divorced,Less than $40K,Blue,27,5,2.0,2.0,1438.3,679,759.3,0.8590000000000001,1117.0,29.0,1.071,0.47200000000000003
225,Existing Customer,41.0,M,2,High School,Single,$80K - $120K,Blue,28,4,3.0,0.0,27756.0,1789,25967.0,0.75,994.0,24.0,0.846,0.064
